document,topic,gamma
Elizabeth Wrigley-Field; Mortality Deceleration and Mortality Selection: Three Unexpected Implications of a Simple Model. Demography 1 February 2014; 51 (1): 51–71. doi: https://doi.org/10.1007/s13524-013-0256-7,2,1.4400307781126487e-5
Elizabeth Wrigley-Field; Multidimensional Mortality Selection: Why Individual Dimensions of Frailty Don’t Act Like Frailty. Demography 1 April 2020; 57 (2): 747–777. doi: https://doi.org/10.1007/s13524-020-00858-8,2,9.662573411153893e-6
"Emiko Takagi, Merril Silverstein; Purchasing Piety? Coresidence of Married Children With Their Older Parents in Japan. Demography 1 November 2011; 48 (4): 1559–1579. doi: https://doi.org/10.1007/s13524-011-0053-0",2,0.015232600666764969
Emilio A. Parrado; How High is Hispanic/Mexican Fertility in the United States? Immigration and Tempo Considerations. Demography 1 August 2011; 48 (3): 1059–1080. doi: https://doi.org/10.1007/s13524-011-0045-0,2,1.2916510085418875e-5
Emilio Zagheni; The Leverage of Demographic Dynamics on Carbon Dioxide Emissions: Does Age Structure Matter?. Demography 1 February 2011; 48 (1): 371–399. doi: https://doi.org/10.1007/s13524-010-0004-1,2,1.1994658162637077e-5
"Emily E. Wiemers, Judith A. Seltzer, Robert F. Schoeni, V. Joseph Hotz, Suzanne M. Bianchi; Stepfamily Structure and Transfers Between Generations in U.S. Families. Demography 1 February 2019; 56 (1): 229–260. doi: https://doi.org/10.1007/s13524-018-0740-1",2,0.0071566704751418716
Emily Rauscher; Effects of Early U.S. Compulsory Schooling Laws on Educational Assortative Mating: The Importance of Context. Demography 1 August 2015; 52 (4): 1219–1242. doi: https://doi.org/10.1007/s13524-015-0402-5,2,1.2854181237069405e-5
"Emily Smith-Greenaway, Christie Sennott; Death and Desirability: Retrospective Reporting of Unintended Pregnancy After a Child’s Death. Demography 1 June 2016; 53 (3): 805–834. doi: https://doi.org/10.1007/s13524-016-0475-9",2,0.023211139037916658
"Emily Smith-Greenaway, Jenny Trinitapoli; Polygynous Contexts, Family Structure, and Infant Mortality in Sub-Saharan Africa. Demography 1 April 2014; 51 (2): 341–366. doi: https://doi.org/10.1007/s13524-013-0262-9",2,1.335692230087503e-5
Emily Smith-Greenaway; Does Parents’ Union Instability Disrupt Intergenerational Advantage? An Analysis of Sub-Saharan Africa. Demography 1 April 2020; 57 (2): 445–473. doi: https://doi.org/10.1007/s13524-019-00854-7,2,0.027779401975124185
"Emma Aguila, Jung Ho Park, Alma Vega; Living Arrangements and Supplemental Income Programs for Older Adults in Mexico. Demography 1 August 2020; 57 (4): 1345–1368. doi: https://doi.org/10.1007/s13524-020-00879-3",2,0.42985236010471933
"Emma Zang, Cameron Campbell; Males’ Later-Life Mortality Consequences of Coresidence With Paternal Grandparents: Evidence From Northeast China, 1789–1909. Demography 1 April 2018; 55 (2): 435–457. doi: https://doi.org/10.1007/s13524-018-0653-z",2,0.006078227872545927
"Eran Shor, David J. Roelfs, Misty Curreli, Lynn Clemow, Matthew M. Burg, Joseph E. Schwartz; Widowhood and Mortality: A Meta-Analysis and Meta-Regression. Demography 1 May 2012; 49 (2): 575–606. doi: https://doi.org/10.1007/s13524-012-0096-x",2,0.35206901591523104
"Erin R. Hamilton, Jo Mhairi Hale, Robin Savinar; Immigrant Legal Status and Health: Legal Status Disparities in Chronic Conditions and Musculoskeletal Pain Among Mexican-Born Farm Workers in the United States. Demography 1 February 2019; 56 (1): 1–24. doi: https://doi.org/10.1007/s13524-018-0746-8",2,0.5633063126485381
"Erin R. Hamilton, Paola D. Langer, Caitlin Patler; DACA's Association With Birth Outcomes Among Mexican-Origin Mothers in the United States. Demography 1 June 2021; 58 (3): 975–985. doi: https://doi.org/10.1215/00703370-9099310",2,0.006670432522682152
"Erin R. Hamilton, Robin Savinar; Two Sources of Error in Data on Migration From Mexico to the United States in Mexican Household-Based Surveys. Demography 1 August 2015; 52 (4): 1345–1355. doi: https://doi.org/10.1007/s13524-015-0409-y",2,0.05525899824466612
"Erin Ruel, Robert M. Hauser; Explaining the Gender Wealth Gap. Demography 1 August 2013; 50 (4): 1155–1176. doi: https://doi.org/10.1007/s13524-012-0182-0",2,0.02927200354417036
"Esther M. Friedman, Robert D. Mare; The Schooling of Offspring and the Survival of Parents. Demography 1 August 2014; 51 (4): 1271–1293. doi: https://doi.org/10.1007/s13524-014-0303-z",2,0.26715246963897665
"Esther O. Lamidi, Wendy D. Manning, Susan L. Brown; Change in the Stability of First Premarital Cohabitation Among Women in the United States, 1983–2013. Demography 1 April 2019; 56 (2): 427–450. doi: https://doi.org/10.1007/s13524-019-00765-7",2,1.3749910794363349e-5
"Ethan J. Raker; Natural Hazards, Disasters, and Demographic Change: The Case of Severe Tornadoes in the United States, 1980–2010. Demography 1 April 2020; 57 (2): 653–674. doi: https://doi.org/10.1007/s13524-020-00862-y",2,0.147152582125958
"Eva Beaujouan, Anne Solaz; Is the Family Size of Parents and Children Still Related? Revisiting the Cross-Generational Relationship Over the Last Century. Demography 1 April 2019; 56 (2): 595–619. doi: https://doi.org/10.1007/s13524-019-00767-5",2,1.3046192541766171e-5
Fabian F. Drixler; Conjuring the Ghosts of Missing Children: A Monte Carlo Simulation of Reproductive Restraint in Tokugawa Japan. Demography 1 April 2015; 52 (2): 667–703. doi: https://doi.org/10.1007/s13524-015-0378-1,2,1.1280968468487154e-5
Fabian T. Pfeffer; Growing Wealth Gaps in Education. Demography 1 June 2018; 55 (3): 1033–1068. doi: https://doi.org/10.1007/s13524-018-0666-7,2,1.0043273801163813e-5
"Fanny Janssen, Leo J. G. van Wissen, Anton E. Kunst; Including the Smoking Epidemic in Internationally Coherent Mortality Projections. Demography 1 August 2013; 50 (4): 1341–1362. doi: https://doi.org/10.1007/s13524-012-0185-x",2,1.4028700347979536e-5
"Feinian Chen, Hui Liu, Kriti Vikram, Yu Guo; For Better or Worse: The Health Implications of Marriage Separation Due to Migration in Rural China. Demography 1 August 2015; 52 (4): 1321–1343. doi: https://doi.org/10.1007/s13524-015-0399-9",2,0.5400797823247745
"Felix Busch; Gender Segregation, Occupational Sorting, and Growth of Wage Disparities Between Women. Demography 1 June 2020; 57 (3): 1063–1088. doi: https://doi.org/10.1007/s13524-020-00887-3",2,1.3380404661442906e-5
"Felix C. Tropf, Jornt J. Mandemakers; Is the Association Between Education and Fertility Postponement Causal? The Role of Family Background Factors. Demography 1 February 2017; 54 (1): 71–91. doi: https://doi.org/10.1007/s13524-016-0531-5",2,1.3828427788776064e-5
"Feng Wang, Yong Cai, Ke Shen, Stuart Gietel-Basten; Is Demography Just a Numerical Exercise? Numbers, Politics, and Legacies of China’s One-Child Policy. Demography 1 April 2018; 55 (2): 693–719. doi: https://doi.org/10.1007/s13524-018-0658-7",2,1.0873442263956662e-5
"Fernando Riosmena, Randall Kuhn, Warren C. Jochem; Explaining the Immigrant Health Advantage: Self-selection and Protection in Health-Related Factors Among Five Major National-Origin Immigrant Groups in the United States. Demography 1 February 2017; 54 (1): 175–200. doi: https://doi.org/10.1007/s13524-016-0542-2",2,0.32732315190840555
"Fernando Riosmena, Rebeca Wong, Alberto Palloni; Migration Selection, Protection, and Acculturation in Health: A Binational Perspective on Older Adults. Demography 1 June 2013; 50 (3): 1039–1064. doi: https://doi.org/10.1007/s13524-012-0178-9",2,0.636644775380229
Filiz Garip; Repeat Migration and Remittances as Mechanisms for Wealth Inequality in 119 Communities From the Mexican Migration Project Data. Demography 1 November 2012; 49 (4): 1335–1360. doi: https://doi.org/10.1007/s13524-012-0128-6,2,1.2951049161549684e-5
Filiz Garip; The Impact of Migration and Remittances on Wealth Accumulation and Distribution in Rural Thailand. Demography 1 April 2014; 51 (2): 673–698. doi: https://doi.org/10.1007/s13524-013-0260-y,2,1.252773661164556e-5
Florencia Torche; The Effect of Maternal Stress on Birth Outcomes: Exploiting a Natural Experiment. Demography 1 November 2011; 48 (4): 1473–1491. doi: https://doi.org/10.1007/s13524-011-0054-z,2,0.10290831095530675
"Francesco Cinnirella, Marc Klemp, Jacob Weisdorf; Further Evidence of Within-Marriage Fertility Control in Pre-Transitional England. Demography 1 August 2019; 56 (4): 1557–1572. doi: https://doi.org/10.1007/s13524-019-00787-1",2,1.8285017158217205e-5
"Francesco Cinnirella, Marc Klemp, Jacob Weisdorf; Malthus in the Bedroom: Birth Spacing as Birth Control in Pre-Transition England. Demography 1 April 2017; 54 (2): 413–436. doi: https://doi.org/10.1007/s13524-017-0556-4",2,1.2951049051428233e-5
"Francine D. Blau, Peter Brummund, Albert Yung-Hsu Liu; Trends in Occupational Segregation by Gender 1970–2009: Adjusting for the Impact of Changes in the Occupational Coding System. Demography 1 April 2013; 50 (2): 471–492. doi: https://doi.org/10.1007/s13524-012-0151-7",2,1.4920561905249143e-5
"Fred C. Pampel, Justin T. Denney; Cross-National Sources of Health Inequality: Education and Tobacco Use in the World Health Survey. Demography 1 May 2011; 48 (2): 653–674. doi: https://doi.org/10.1007/s13524-011-0027-2",2,0.15935525430950037
"Fredah Guantai, Yoko Kijima; Ethnic Violence and Birth Outcomes: Evidence From Exposure to the 1992 Conflict in Kenya. Demography 1 April 2020; 57 (2): 423–444. doi: https://doi.org/10.1007/s13524-020-00864-w",2,1.5328387550330562e-5
Gary N. Marks; Family Income Has Only Weak Effects on Cognitive Scores in Australia: A Comment on Khanam and Nghiem. Demography 1 April 2017; 54 (2): 801–807. doi: https://doi.org/10.1007/s13524-017-0557-3,2,7.31170333055793e-5
"George B. Ploubidis, Emily Grundy; Health Measurement in Population Surveys: Combining Information from Self-reported and Observer-Measured Health Indicators. Demography 1 May 2011; 48 (2): 699–724. doi: https://doi.org/10.1007/s13524-011-0028-1",2,0.9474079022662366
"Georges Reniers, Rania Tfaily; Polygyny, Partnership Concurrency, and HIV Transmission in Sub-Saharan Africa. Demography 1 August 2012; 49 (3): 1075–1101. doi: https://doi.org/10.1007/s13524-012-0114-z",2,1.1205044421744934e-5
"Gerard J. van den Berg, Gabriele Doblhammer-Reiter, Kaare Christensen; Being Born Under Adverse Economic Conditions Leads to a Higher Cardiovascular Mortality Rate Later in Life: Evidence Based on Individuals Born at Different Stages of the Business Cycle. Demography 1 May 2011; 48 (2): 507–530. doi: https://doi.org/10.1007/s13524-011-0021-8",2,1.2513024702169886e-05
Gerard Torrats-Espinosa; Crime and Inequality in Academic Achievement Across School Districts in the United States. Demography 1 February 2020; 57 (1): 123–145. doi: https://doi.org/10.1007/s13524-019-00850-x,2,1.1097677049791283e-5
"Giambattista Salinari, Gustavo De Santis; On the Beginning of Mortality Acceleration. Demography 1 February 2015; 52 (1): 39–60. doi: https://doi.org/10.1007/s13524-014-0363-0",2,1.8303863786067766e-5
"Giammarco Alderotti, Daniele Vignoli, Michela Baccini, Anna Matysiak; Employment Instability and Fertility in Europe: A Meta-Analysis. Demography 1 June 2021; 58 (3): 871–900. doi: https://doi.org/10.1215/00703370-9164737",2,1.1151102616554775e-5
"Glenn Firebaugh, Chad R. Farrell; Still Large, but Narrowing: The Sizable Decline in Racial Neighborhood Inequality in Metropolitan America, 1980–2010. Demography 1 February 2016; 53 (1): 139–164. doi: https://doi.org/10.1007/s13524-015-0447-5",2,1.3485398319455355e-5
Götz Rohwer; A Note on the Dependence of Health on Age and Education. Demography 1 April 2016; 53 (2): 325–335. doi: https://doi.org/10.1007/s13524-016-0457-y,2,0.2691578318369812
"Grant Miller, Christine Valente; Population Policy: Abortion and Modern Contraception Are Substitutes. Demography 1 August 2016; 53 (4): 979–1009. doi: https://doi.org/10.1007/s13524-016-0492-8",2,1.1684245597017077e-5
"Greg Kaplan, Sam Schulhofer-Wohl; Interstate Migration Has Fallen Less Than You Think: Consequences of Hot Deck Imputation in the Current Population Survey. Demography 1 August 2012; 49 (3): 1061–1074. doi: https://doi.org/10.1007/s13524-012-0110-3",2,1.9368568148686085e-5
"Gregory Clark, Neil Cummins, Matthew Curtis; Twins Support the Absence of Parity-Dependent Fertility Control in Pretransition Populations. Demography 1 August 2020; 57 (4): 1571–1595. doi: https://doi.org/10.1007/s13524-020-00898-0",2,1.4637698805985639e-5
"Gregory Clark, Neil Cummins; Randomness in the Bedroom: There Is No Evidence for Fertility Control in Pre-Industrial England. Demography 1 August 2019; 56 (4): 1541–1555. doi: https://doi.org/10.1007/s13524-019-00786-2",2,2.1442123973814923e-5
"Guadalupe Aguilera, Kim Korinek; Immigrant Fertility in Comparative Perspective: South Africa and the United States. Demography 1 February 2020; 57 (1): 297–322. doi: https://doi.org/10.1007/s13524-019-00852-9",2,1.1086130588656286e-5
"Guang Guo, Yilan Fu, Hedwig Lee, Tianji Cai, Kathleen Mullan Harris, Yi Li; Genetic Bio-Ancestry and Social Construction of Racial Classification in Social Surveys in the Contemporary United States. Demography 1 February 2014; 51 (1): 141–172. doi: https://doi.org/10.1007/s13524-013-0242-0",2,0.07228478086861359
"Gudrun Østby, Henrik Urdal, Andreas Forø Tollefsen, Andreas Kotsadam, Ragnhild Belbo, Christin Ormhaug; Organized Violence and Institutional Child Delivery: Micro-Level Evidence From Sub-Saharan Africa, 1989–2014. Demography 1 August 2018; 55 (4): 1295–1316. doi: https://doi.org/10.1007/s13524-018-0685-4",2,0.07659784924197484
"Günther Fink, Isabel Günther, Kenneth Hill; Slum Residence and Child Health in Developing Countries. Demography 1 August 2014; 51 (4): 1175–1197. doi: https://doi.org/10.1007/s13524-014-0302-0",2,0.07094239925675476
"H. Elizabeth Peters, Kosali Simon, Jamie Rubenstein Taber; Marital Disruption and Health Insurance. Demography 1 August 2014; 51 (4): 1397–1421. doi: https://doi.org/10.1007/s13524-014-0317-6",2,0.11749601089771819
"Hadas Mandel, Assaf Rotman; Revealing the Concealed Effect of Top Earnings on the Gender Gap in the Economic Value of Higher Education in the United States, 1980–2017. Demography 1 April 2021; 58 (2): 551–570. doi: https://doi.org/10.1215/00703370-9009367",2,1.6141098751408475e-5
Hadas Mandel; A Second Look at the Process of Occupational Feminization and Pay Reduction in Occupations. Demography 1 April 2018; 55 (2): 669–690. doi: https://doi.org/10.1007/s13524-018-0657-8,2,1.4829193943225444e-5
Haley McAvay; How Durable Are Ethnoracial Segregation and Spatial Disadvantage? Intergenerational Contextual Mobility in France. Demography 1 August 2018; 55 (4): 1507–1545. doi: https://doi.org/10.1007/s13524-018-0689-0,2,1.1497646222133734e-5
"Hannaliis Jaadla, Alice Reid, Eilidh Garrett, Kevin Schürer, Joseph Day; Revisiting the Fertility Transition in England and Wales: The Role of Social Class and Migration. Demography 1 August 2020; 57 (4): 1543–1569. doi: https://doi.org/10.1007/s13524-020-00895-3",2,1.2405219905514048e-5
"Hannes Kröger, Rasmus Hoffmann, Lasse Tarkiainen, Pekka Martikainen; Comparing Observed and Unobserved Components of Childhood: Evidence From Finnish Register Data on Midlife Mortality From Siblings and Their Parents. Demography 1 February 2018; 55 (1): 295–318. doi: https://doi.org/10.1007/s13524-017-0635-6",2,0.047055299192903674
"Hao Dong, Cameron Campbell, Satomi Kurosu, Wenshan Yang, James Z. Lee; New Sources for Comparative Social Science: Historical Population Panel Data From East Asia. Demography 1 June 2015; 52 (3): 1061–1088. doi: https://doi.org/10.1007/s13524-015-0397-y",2,1.0440860526106645e-5
Heather Antecol; Career and Family Choices Among Elite Liberal Arts Graduates. Demography 1 August 2015; 52 (4): 1089–1120. doi: https://doi.org/10.1007/s13524-015-0408-z,2,1.3407342743492905e-5
"Heather D. Hill; Family Income Level, Variability, and Trend as Predictors of Child Achievement and Behavior. Demography 1 August 2021; 58 (4): 1499–1524. doi: https://doi.org/10.1215/00703370-9357529",2,0.013702268103785812
Heeju Sohn; Fraying Families: Demographic Divergence in the Parental Safety Net. Demography 1 August 2019; 56 (4): 1519–1540. doi: https://doi.org/10.1007/s13524-019-00802-5,2,1.4775727936290318e-5
"Helena Holmlund, Helmut Rainer, Thomas Siedler; Meet the Parents? Family Size and the Geographic Proximity Between Adult Children and Older Mothers in Sweden. Demography 1 June 2013; 50 (3): 903–931. doi: https://doi.org/10.1007/s13524-012-0181-1",2,1.3626818288355586e-5
"Hendriek C. Boshuizen, Stefan K. Lhachimi, Pieter H. M. van Baal, Rudolf T. Hoogenveen, Henriette A. Smit, Johan P. Mackenbach, Wilma J. Nusselder; The DYNAMO-HIA Model: An Efficient Implementation of a Risk Factor/Chronic Disease Markov Model for Use in Health Impact Assessment (HIA). Demography 1 November 2012; 49 (4): 1259–1283. doi: https://doi.org/10.1007/s13524-012-0122-z",2,0.03291948462518159
Hill Kulu; Marriage Duration and Divorce: The Seven-Year Itch or a Lifelong Itch?. Demography 1 June 2014; 51 (3): 881–893. doi: https://doi.org/10.1007/s13524-013-0278-1,2,3.433526360931415e-5
"Holly E. Reed; Moving Across Boundaries: Migration in South Africa, 1950–2000. Demography 1 February 2013; 50 (1): 71–95. doi: https://doi.org/10.1007/s13524-012-0140-x",2,1.3540236164596962e-5
"Hong Li, Johnny Siu-Hang Li; Optimizing the Lee-Carter Approach in the Presence of Structural Changes in Time and Age Patterns of Mortality Improvements. Demography 1 June 2017; 54 (3): 1073–1095. doi: https://doi.org/10.1007/s13524-017-0579-x",2,1.670281151012635e-5
"Hongbin Li, Junjian Yi, Junsen Zhang; Estimating the Effect of the One-Child Policy on the Sex Ratio Imbalance in China: Identification Based on the Difference-in-Differences. Demography 1 November 2011; 48 (4): 1535–1557. doi: https://doi.org/10.1007/s13524-011-0055-y",2,1.4408096667311149e-5
"Hongwei Xu, John R. Logan, Susan E. Short; Integrating Space With Place in Health Research: A Multilevel Spatial Investigation Using Child Mortality in 1880 Newark, New Jersey. Demography 1 June 2014; 51 (3): 811–834. doi: https://doi.org/10.1007/s13524-014-0292-y",2,0.03605490010522367
"Hongyun Fu, Mark J. VanLandingham; Mental Health Consequences of International Migration for Vietnamese Americans and the Mediating Effects of Physical Health and Social Networks: Results From a Natural Experiment Approach. Demography 1 May 2012; 49 (2): 393–424. doi: https://doi.org/10.1007/s13524-011-0088-2",2,0.7417705806500343
"Hope Corman, Kelly Noonan, Nancy E. Reichman, Ofira Schwartz-Soicher; Life Shocks and Crime: A Test of the “Turning Point” Hypothesis. Demography 1 August 2011; 48 (3): 1177–1202. doi: https://doi.org/10.1007/s13524-011-0042-3",2,0.28928287901300553
"Hope Harvey, Rachel Dunifon, Natasha Pilkauskas; Under Whose Roof? Understanding the Living Arrangements of Children in Doubled-Up Households. Demography 1 June 2021; 58 (3): 821–846. doi: https://doi.org/10.1215/00703370-9101102",2,1.1228660704558889e-5
Hope Harvey; Cumulative Effects of Doubling Up in Childhood on Young Adult Outcomes. Demography 1 April 2020; 57 (2): 501–528. doi: https://doi.org/10.1007/s13524-020-00860-0,2,0.05006407694018223
"Hosung Sohn, Suk-Won Lee; Causal Impact of Having a College Degree on Women’s Fertility: Evidence From Regression Kink Designs. Demography 1 June 2019; 56 (3): 969–990. doi: https://doi.org/10.1007/s13524-019-00771-9",2,1.5115289807429357e-5
"Hsin-Ling Hsieh, Shin-Yi Chou, Echu Liu, Hsien-Ming Lien; Strengthening or Weakening? The Impact of Universal Health Insurance on Intergenerational Coresidence in Taiwan. Demography 1 June 2015; 52 (3): 883–904. doi: https://doi.org/10.1007/s13524-015-0387-0",2,0.3976785266874874
"Hui Liu, Rin Reczek; Birth Cohort Trends in Health Disparities by Sexual Orientation. Demography 1 August 2021; 58 (4): 1445–1472. doi: https://doi.org/10.1215/00703370-9357508",2,0.8092261526318859
"Hui Zheng, Yang Yang, Kenneth C. Land; Heterogeneity in the Strehler-Mildvan General Theory of Mortality and Aging. Demography 1 February 2011; 48 (1): 267–290. doi: https://doi.org/10.1007/s13524-011-0013-8",2,0.026417799255382117
Hui Zheng; Aging in the Context of Cohort Evolution and Mortality Selection. Demography 1 August 2014; 51 (4): 1295–1317. doi: https://doi.org/10.1007/s13524-014-0306-9,2,1.1202688383593018e-5
"Hyunjoon Park, Jere R. Behrman, Jaesung Choi; Causal Effects of Single-Sex Schools on College Entrance Exams and College Attendance: Random Assignment in Seoul High Schools. Demography 1 April 2013; 50 (2): 447–469. doi: https://doi.org/10.1007/s13524-012-0157-1",2,1.2489556884830936e-5
"Ian Lundberg, Louis Donnelly; A Research Note on the Prevalence of Housing Eviction Among Children Born in U.S. Cities. Demography 1 February 2019; 56 (1): 391–404. doi: https://doi.org/10.1007/s13524-018-0735-y",2,0.01594982405550898
Ian Lundberg; Does Opportunity Skip Generations? Reassessing Evidence From Sibling and Cousin Correlations. Demography 1 August 2020; 57 (4): 1193–1213. doi: https://doi.org/10.1007/s13524-020-00880-w,2,1.7077597796791702e-5
"Ian M. Timæus, Tom A. Moultrie; Pathways to Low Fertility: 50 Years of Limitation, Curtailment, and Postponement of Childbearing. Demography 1 February 2020; 57 (1): 267–296. doi: https://doi.org/10.1007/s13524-019-00848-5",2,1.2480779140844827e-5
"Iliana V. Kohler, Collin F. Payne, Chiwoza Bandawe, Hans-Peter Kohler; The Demography of Mental Health Among Mature Adults in a Low-Income, High-HIV-Prevalence Context. Demography 1 August 2017; 54 (4): 1529–1558. doi: https://doi.org/10.1007/s13524-017-0596-9",2,0.7796951035380763
"Inhoe Ku, Wonjin Lee, Seoyun Lee, Kyounghoon Han; The Role of Family Behaviors in Determining Income Distribution: The Case of South Korea. Demography 1 June 2018; 55 (3): 877–899. doi: https://doi.org/10.1007/s13524-018-0670-y",2,1.3333522044299465e-5
"Irene Mosca, Robert E. Wright; Effect of Retirement on Cognition: Evidence From the Irish Marriage Bar. Demography 1 August 2018; 55 (4): 1317–1341. doi: https://doi.org/10.1007/s13524-018-0682-7",2,0.11547120460407938
"Irma T. Elo, Neil K. Mehta, Cheng Huang; Disability Among Native-born and Foreign-born Blacks in the United States. Demography 1 February 2011; 48 (1): 241–265. doi: https://doi.org/10.1007/s13524-010-0008-x",2,0.334178622324662
"Isaac Sasson; Reply to Trends in Education-Specific Life Expectancy, Data Quality, and Shifting Education Distributions: A Note on Recent Research. Demography 1 June 2017; 54 (3): 1215–1219. doi: https://doi.org/10.1007/s13524-017-0583-1",2,0.1472850217978578
"Isaac Sasson; Trends in Life Expectancy and Lifespan Variation by Educational Attainment: United States, 1990–2010. Demography 1 April 2016; 53 (2): 269–293. doi: https://doi.org/10.1007/s13524-015-0453-7",2,1.3014323316195762e-5
"Isabel Günther, Kenneth Harttgen; Desired Fertility and Number of Children Born Across Time and Space. Demography 1 February 2016; 53 (1): 55–83. doi: https://doi.org/10.1007/s13524-015-0451-9",2,1.4796246170067004e-5
"Istvan M. Majer, Ralph Stevens, Wilma J. Nusselder, Johan P. Mackenbach, Pieter H. M. van Baal; Modeling and Forecasting Health Expectancy: Theoretical Framework and Application. Demography 1 April 2013; 50 (2): 673–697. doi: https://doi.org/10.1007/s13524-012-0156-2",2,0.1792062326479342
"J. David Brown, Misty L. Heggeness, Suzanne M. Dorinski, Lawrence Warren, Moises Yi; Predicting the Effect of Adding a Citizenship Question to the 2020 Census. Demography 1 August 2019; 56 (4): 1173–1194. doi: https://doi.org/10.1007/s13524-019-00803-4",2,1.3336859944219406e-5
"Jacinda K. Dariotis, Joseph H. Pleck, Nan M. Astone, Freya L. Sonenstein; Pathways of Early Fatherhood, Marriage, and Employment: A Latent Class Growth Analysis. Demography 1 May 2011; 48 (2): 593–623. doi: https://doi.org/10.1007/s13524-011-0022-7",2,0.0051609518223728916
"Jack DeWaard, Keuntae Kim, James Raymer; Migration Systems in Europe: Evidence From Harmonized Flow Data. Demography 1 November 2012; 49 (4): 1307–1333. doi: https://doi.org/10.1007/s13524-012-0117-9",2,1.2731310977630959e-5
Jackelyn Hwang; Pioneers of Gentrification: Transformation in Global Neighborhoods in Urban America in the Late Twentieth Century. Demography 1 February 2016; 53 (1): 189–213. doi: https://doi.org/10.1007/s13524-015-0448-4,2,1.329359791678324e-5
"Jaikishan Desai, Alessandro Tarozzi; Microcredit, Family Planning Programs, and Contraceptive Behavior: Evidence From a Field Experiment in Ethiopia. Demography 1 May 2011; 48 (2): 749–782. doi: https://doi.org/10.1007/s13524-011-0029-0",2,9.54827762617058e-6
"James J. Feigenbaum, Christopher Muller, Elizabeth Wrigley-Field; Regional and Racial Inequality in Infectious Disease Mortality in U.S. Cities, 1900–1948. Demography 1 August 2019; 56 (4): 1371–1388. doi: https://doi.org/10.1007/s13524-019-00789-z",2,1.6968810424223363e-5
"James M. Raymo, Hyunjoon Park; Marriage Decline in Korea: Changing Composition of the Domestic Marriage Market and Growth in International Marriage. Demography 1 February 2020; 57 (1): 171–194. doi: https://doi.org/10.1007/s13524-019-00844-9",2,1.3014323241283266e-5
"Jan Kabátek, Francisco Perales; Academic Achievement of Children in Same- and Different-Sex-Parented Families: A Population-Level Analysis of Linked Administrative Data From the Netherlands. Demography 1 April 2021; 58 (2): 393–418. doi: https://doi.org/10.1215/00703370-8994569",2,1.0658089605034386e-5
"Jan Skopek, Thomas Leopold; Educational Reproduction in Germany: A Prospective Study Based on Retrospective Data. Demography 1 August 2020; 57 (4): 1241–1270. doi: https://doi.org/10.1007/s13524-020-00896-2",2,1.0521275624500174e-5
"Janet Chen-Lan Kuo, R. Kelly Raley; Diverging Patterns of Union Transition Among Cohabitors by Race/Ethnicity and Education: Trends and Marital Intentions in the United States. Demography 1 August 2016; 53 (4): 921–935. doi: https://doi.org/10.1007/s13524-016-0483-9",2,2.3650455386106705e-5
"Jared N. Schachner, Robert J. Sampson; Skill-Based Contextual Sorting: How Parental Cognition and Residential Mobility Produce Unequal Environments for Children. Demography 1 April 2020; 57 (2): 675–703. doi: https://doi.org/10.1007/s13524-020-00866-8",2,9.650321771051182e-6
"Jarl E. Mooyaart, Aart C. Liefbroer; The Influence of Parental Education on Timing and Type of Union Formation: Changes Over the Life Course and Over Time in the Netherlands. Demography 1 August 2016; 53 (4): 885–919. doi: https://doi.org/10.1007/s13524-016-0473-y",2,1.4295975577411254e-5
"Jason D. Boardman, Benjamin W. Domingue, Casey L. Blalock, Brett C. Haberstick, Kathleen Mullan Harris, Matthew B. McQueen; Is the Gene-Environment Interaction Paradigm Relevant to Genome-Wide Studies? The Case of Education and Body Mass Index. Demography 1 February 2014; 51 (1): 119–139. doi: https://doi.org/10.1007/s13524-013-0259-4",2,0.5003011349377741
"Jason D. Boardman, Casey L. Blalock, Fred C. Pampel, Peter K. Hatemi, Andrew C. Heath, Lindon J. Eaves; Population Composition, Public Policy, and the Genetics of Smoking. Demography 1 November 2011; 48 (4): 1517–1533. doi: https://doi.org/10.1007/s13524-011-0057-9",2,0.039221673215334985
"Jason Fletcher, Marsha Mailick, Jieun Song, Barbara Wolfe; A Sibling Death in the Family: Common and Consequential. Demography 1 June 2013; 50 (3): 803–826. doi: https://doi.org/10.1007/s13524-012-0162-4",2,0.14765815610104158
"Jason T. Kerwin, Natalia Ordaz Reynoso; You Know What I Know: Interviewer Knowledge Effects in Subjective Expectation Elicitation. Demography 1 February 2021; 58 (1): 1–29. doi: https://doi.org/10.1215/00703370-8932274",2,1.0904600943192282e-5
"Jeanne Cilliers, Martine Mariotti; Stop! Go! What Can We Learn About Family Planning From Birth Timing in Settler South Africa, 1835–1950?. Demography 1 June 2021; 58 (3): 901–925. doi: https://doi.org/10.1215/00703370-9164749",2,1.4050899848958174e-5
"Jeffrey Napierala, Nancy Denton; Measuring Residential Segregation With the ACS: How the Margin of Error Affects the Dissimilarity Index. Demography 1 February 2017; 54 (1): 285–309. doi: https://doi.org/10.1007/s13524-016-0545-z",2,1.428447664601855e-5
"Jenifer L. Bratter, Bridget K. Gorman; Does Multiracial Matter? A Study of Racial Disparities in Self-Rated Health. Demography 1 February 2011; 48 (1): 127–152. doi: https://doi.org/10.1007/s13524-010-0005-0",2,0.371046594678096
